episode,score,reward,steps,snake_length,termination_reason,seed
1,29,301.4599999999992,344,32,self_collision,1000000
2,39,421.72999999999547,617,42,self_collision,1000001
3,26,273.90999999999997,366,29,self_collision,1000002
4,39,422.3199999999934,628,42,self_collision,1000003
5,41,437.4999999999941,642,44,self_collision,1000004
6,16,167.33000000000044,254,19,self_collision,1000005
7,43,456.18999999999306,685,46,self_collision,1000006
8,19,194.39000000000038,221,22,self_collision,1000007
9,18,185.28000000000043,231,21,self_collision,1000008
10,16,163.4300000000004,204,19,self_collision,1000009
11,34,351.85999999999774,409,37,self_collision,1000010
12,24,255.6500000000005,370,27,self_collision,1000011
13,37,393.42999999999626,525,40,self_collision,1000012
14,39,410.3099999999962,519,42,self_collision,1000013
15,35,375.1199999999967,544,38,self_collision,1000014
16,35,368.3399999999949,512,38,self_collision,1000015
17,37,394.2499999999959,593,40,self_collision,1000016
18,19,200.08000000000038,332,22,self_collision,1000017
19,21,216.06000000000037,276,24,self_collision,1000018
20,11,113.7700000000004,195,14,self_collision,1000019
21,30,316.46999999999883,414,33,self_collision,1000020
22,40,429.2999999999957,571,43,self_collision,1000021
23,58,619.8299999999946,816,61,self_collision,1000022
24,36,388.75999999999533,611,39,self_collision,1000023
25,21,217.4600000000005,276,24,self_collision,1000024
26,36,381.7899999999952,548,39,self_collision,1000025
27,38,398.9099999999956,538,41,self_collision,1000026
28,19,200.5000000000005,310,22,self_collision,1000027
29,33,348.9299999999978,441,36,self_collision,1000028
30,28,296.2399999999987,465,31,self_collision,1000029
31,41,437.5799999999958,614,44,self_collision,1000030
32,14,142.19000000000025,186,17,self_collision,1000031
33,45,486.3499999999921,741,48,self_collision,1000032
34,22,229.52000000000055,311,25,self_collision,1000033
35,23,241.21000000000046,353,26,self_collision,1000034
36,15,155.58000000000047,238,18,self_collision,1000035
37,46,491.8599999999935,701,49,self_collision,1000036
38,20,208.01000000000047,270,23,self_collision,1000037
39,27,284.1599999999987,412,30,self_collision,1000038
40,19,200.1900000000006,291,22,self_collision,1000039
41,29,310.86999999999915,453,32,self_collision,1000040
42,30,316.22999999999826,428,33,self_collision,1000041
43,42,450.91999999999416,661,45,self_collision,1000042
44,36,386.989999999995,568,39,self_collision,1000043
45,41,435.0099999999945,631,44,self_collision,1000044
46,11,108.09000000000024,133,14,self_collision,1000045
47,31,332.66999999999837,475,34,self_collision,1000046
48,23,239.2900000000005,295,26,self_collision,1000047
49,28,298.1699999999993,422,31,self_collision,1000048
50,19,199.43000000000055,287,22,self_collision,1000049
51,16,164.65000000000043,222,19,self_collision,1000050
52,29,309.089999999999,461,32,self_collision,1000051
53,18,186.46000000000052,243,21,self_collision,1000052
54,33,346.1399999999983,450,36,self_collision,1000053
55,22,232.62000000000066,351,25,self_collision,1000054
56,24,251.18000000000035,317,27,self_collision,1000055
57,59,629.7299999999941,927,62,self_collision,1000056
58,23,242.20000000000064,324,26,self_collision,1000057
59,11,112.88000000000038,184,14,self_collision,1000058
60,39,418.54999999999416,675,42,self_collision,1000059
61,16,162.62000000000043,195,19,self_collision,1000060
62,23,241.0100000000005,333,26,self_collision,1000061
63,33,348.8999999999982,484,36,self_collision,1000062
64,39,419.4199999999933,698,42,self_collision,1000063
65,25,266.6900000000002,387,28,self_collision,1000064
66,20,214.0100000000006,350,23,self_collision,1000065
67,9,85.94000000000015,96,12,self_collision,1000066
68,39,409.26999999999606,473,42,self_collision,1000067
69,17,175.16000000000034,252,20,self_collision,1000068
70,40,431.59999999999366,691,43,self_collision,1000069
71,21,215.21000000000046,271,24,self_collision,1000070
72,25,265.1800000000004,418,28,self_collision,1000071
73,16,165.3400000000004,233,19,self_collision,1000072
74,39,423.2699999999934,703,42,self_collision,1000073
75,42,451.74999999999284,688,45,self_collision,1000074
76,50,537.4799999999948,753,53,self_collision,1000075
77,32,335.62999999999755,430,35,self_collision,1000076
78,28,293.43999999999903,375,31,self_collision,1000077
79,38,402.0599999999962,493,41,self_collision,1000078
80,46,489.94999999999385,672,49,self_collision,1000079
81,20,209.6100000000006,290,23,self_collision,1000080
82,24,259.97000000000025,418,27,self_collision,1000081
83,27,281.5199999999995,326,30,self_collision,1000082
84,43,469.92999999999125,781,46,self_collision,1000083
85,24,254.44000000000028,401,27,self_collision,1000084
86,33,350.2599999999982,458,36,self_collision,1000085
87,18,186.21000000000046,248,21,self_collision,1000086
88,32,340.31999999999726,511,35,self_collision,1000087
89,25,257.8700000000001,349,28,self_collision,1000088
90,38,409.2399999999942,655,41,self_collision,1000089
91,30,320.27999999999844,483,33,self_collision,1000090
92,22,230.14000000000053,309,25,self_collision,1000091
93,13,133.94000000000048,200,16,wall_collision,1000092
94,27,290.6799999999993,440,30,self_collision,1000093
95,32,333.1799999999991,445,35,self_collision,1000094
96,24,255.59000000000037,396,27,self_collision,1000095
97,32,340.54999999999785,468,35,self_collision,1000096
98,42,450.9599999999937,707,45,self_collision,1000097
99,36,383.42999999999637,494,39,self_collision,1000098
100,33,351.30999999999796,513,36,self_collision,1000099
