episode,score,reward,steps,snake_length,termination_reason,seed
1,46,487.9799999999916,689,49,self_collision,1000000
2,25,-119.05000000006808,40000,28,step_limit,1000001
3,16,163.2600000000004,201,19,self_collision,1000002
4,19,-190.7100000000329,40000,22,step_limit,1000003
5,30,315.8899999999992,422,33,self_collision,1000004
6,54,583.8699999999956,978,57,self_collision,1000005
7,21,220.07000000000048,305,24,self_collision,1000006
8,15,-236.85000000003348,40000,18,step_limit,1000007
9,17,173.41000000000028,227,20,self_collision,1000008
10,39,416.21999999999485,638,42,self_collision,1000009
11,28,291.1299999999989,366,31,self_collision,1000010
12,14,145.5200000000004,223,17,self_collision,1000011
13,5,-346.6500000002159,40000,8,step_limit,1000012
14,47,496.62999999999136,755,50,self_collision,1000013
15,11,-276.1900000000664,40000,14,step_limit,1000014
16,24,246.98000000000025,277,27,self_collision,1000015
17,22,231.42000000000044,361,25,self_collision,1000016
18,9,-295.8100000001082,40000,12,step_limit,1000017
19,18,184.38000000000034,241,21,self_collision,1000018
20,11,-274.9900000000642,40000,14,step_limit,1000019
21,24,251.32000000000033,333,27,self_collision,1000020
22,6,-334.5400000001909,40000,9,step_limit,1000021
23,14,-245.0600000000333,40000,17,step_limit,1000022
24,10,97.17000000000026,124,13,self_collision,1000023
25,18,184.6600000000003,253,21,self_collision,1000024
26,22,229.76000000000053,307,25,self_collision,1000025
27,14,137.66000000000017,139,17,self_collision,1000026
28,26,277.5499999999994,422,29,self_collision,1000027
29,0,-400.00000000032395,40000,3,step_limit,1000028
30,17,-208.93000000003275,40000,20,step_limit,1000029
31,42,63.11999999955361,40000,45,step_limit,1000030
32,14,142.00000000000028,185,17,self_collision,1000031
33,23,242.59000000000066,335,26,self_collision,1000032
34,38,404.6999999999954,579,41,self_collision,1000033
35,34,366.3199999999972,543,37,self_collision,1000034
36,35,-9.150000000300704,40000,38,step_limit,1000035
37,7,-318.8300000001567,40000,10,step_limit,1000036
38,21,218.76000000000045,306,24,self_collision,1000037
39,8,-314.7200000001487,40000,11,step_limit,1000038
40,14,-242.26000000003305,40000,17,step_limit,1000039
41,9,-297.8100000001116,40000,12,step_limit,1000040
42,7,-325.63000000017104,40000,10,step_limit,1000041
43,30,319.8599999999988,475,33,self_collision,1000042
44,25,259.83000000000027,323,28,self_collision,1000043
45,35,370.7299999999967,493,38,self_collision,1000044
46,34,358.2899999999973,496,37,self_collision,1000045
47,28,-87.72000000013743,40000,31,step_limit,1000046
48,0,-400.00000000032395,40000,3,step_limit,1000047
49,11,-277.99000000006964,40000,14,step_limit,1000048
50,28,-90.0200000001311,40000,31,step_limit,1000049
51,17,177.01000000000042,267,20,self_collision,1000050
52,36,384.64999999999674,602,39,self_collision,1000051
53,29,-77.61000000015682,40000,32,step_limit,1000052
54,23,239.48000000000056,306,26,self_collision,1000053
55,7,-322.8300000001655,40000,10,step_limit,1000054
56,39,409.31999999999664,508,42,self_collision,1000055
57,4,-357.7600000002401,40000,7,step_limit,1000056
58,9,-297.810000000112,40000,12,step_limit,1000057
59,13,134.00000000000037,214,16,self_collision,1000058
60,4,-354.96000000023423,40000,7,step_limit,1000059
61,47,496.42999999999245,685,50,self_collision,1000060
62,45,480.14999999999355,681,48,self_collision,1000061
63,7,-323.030000000166,40000,10,step_limit,1000062
64,36,385.719999999996,565,39,self_collision,1000063
65,9,-300.6100000001184,40000,12,step_limit,1000064
66,3,-362.47000000025,40000,6,step_limit,1000065
67,32,333.8999999999977,403,35,self_collision,1000066
68,2,-378.58000000028267,40000,5,step_limit,1000067
69,45,482.2199999999932,714,48,self_collision,1000068
70,16,164.7500000000004,222,19,self_collision,1000069
71,38,400.14999999999503,534,41,self_collision,1000070
72,10,-286.60000000008836,40000,13,step_limit,1000071
73,21,220.97000000000057,315,24,self_collision,1000072
74,44,473.94999999999146,820,47,self_collision,1000073
75,42,71.1199999995364,40000,45,step_limit,1000074
76,35,371.73999999999654,482,38,self_collision,1000075
77,43,457.5899999999924,645,46,self_collision,1000076
78,33,348.0299999999978,441,36,self_collision,1000077
79,40,418.76999999999515,534,43,self_collision,1000078
80,30,321.2099999999978,460,33,self_collision,1000079
81,33,-39.8700000002385,40000,36,step_limit,1000080
82,7,-321.83000000016386,40000,10,step_limit,1000081
83,39,410.00999999999493,519,42,self_collision,1000082
84,14,144.9200000000004,223,17,self_collision,1000083
85,7,-324.8300000001698,40000,10,step_limit,1000084
86,26,272.7499999999999,382,29,self_collision,1000085
87,6,54.99000000000012,78,9,self_collision,1000086
88,25,263.8500000000001,381,28,self_collision,1000087
89,26,-117.4400000000735,40000,29,step_limit,1000088
90,39,419.7299999999948,617,42,self_collision,1000089
91,9,-300.2100000001176,40000,12,step_limit,1000090
92,48,510.01999999999225,707,51,self_collision,1000091
93,33,353.0599999999974,498,36,self_collision,1000092
94,13,-254.57000000003328,40000,16,step_limit,1000093
95,32,331.9199999999995,371,35,self_collision,1000094
96,38,408.40999999999485,628,41,self_collision,1000095
97,36,-3.840000000309641,40000,39,step_limit,1000096
98,17,180.12000000000057,306,20,self_collision,1000097
99,10,-293.1000000001019,40000,13,step_limit,1000098
100,19,199.0600000000006,274,22,self_collision,1000099
