episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-6.1,0,3,31,0.995,,0,wall_collision
2,-6.640000000000001,0,3,65,0.990025,,0,wall_collision
3,-6.209999999999999,0,3,72,0.985074875,,0,wall_collision
4,-6.159999999999999,0,3,77,0.9801495006250001,,0,wall_collision
5,-6.42,0,3,23,0.9752487531218751,,0,wall_collision
6,-6.780000000000001,0,3,219,0.9703725093562657,,0,wall_collision
7,-4.64,0,3,25,0.9655206468094844,,0,wall_collision
8,-6.94,0,3,115,0.960693043575437,,0,wall_collision
9,-5.47,0,3,18,0.9558895783575597,,0,wall_collision
10,-6.920000000000003,0,3,213,0.9511101304657719,,0,wall_collision
11,-6.02,0,3,23,0.946354579813443,,0,wall_collision
12,-7.07,0,3,38,0.9416228069143757,,0,wall_collision
13,-5.449999999999999,0,3,116,0.9369146928798039,0.06698110187102833,36,wall_collision
14,3.200000000000008,1,4,142,0.9322301194154049,0.01908231199000434,142,wall_collision
15,-5.609999999999999,0,3,72,0.9275689688183278,0.012077669380131637,72,wall_collision
16,-5.71,0,3,62,0.9229311239742362,0.010867896944898436,62,wall_collision
17,5.200000000000006,1,4,42,0.918316468354365,0.0012974241248489957,42,wall_collision
18,4.660000000000004,1,4,56,0.9137248860125932,0.016334389986825824,56,wall_collision
19,-6.49,0,3,60,0.9091562615825302,0.024721754662217186,60,wall_collision
20,-5.18,0,3,59,0.9046104802746175,0.022823763838614005,59,wall_collision
21,-6.11,0,3,22,0.9000874278732445,0.028472435888199307,22,wall_collision
22,-6.69,0,3,20,0.8955869907338783,0.016198260738747194,20,wall_collision
23,-6.0600000000000005,0,3,27,0.8911090557802088,0.007253518678394526,27,wall_collision
24,-4.79,0,3,30,0.8866535105013078,0.024434134137118237,30,wall_collision
25,4.130000000000036,1,4,219,0.8822202429488013,0.022301506911381573,219,wall_collision
26,13.270000000000007,2,5,186,0.8778091417340573,0.021976183144884528,186,self_collision
27,-5.77,0,3,68,0.8734200960253871,0.029303757087772657,68,wall_collision
28,26.91000000000001,3,6,103,0.8690529955452602,0.032663701276195424,103,self_collision
29,-4.51,0,3,62,0.8647077305675338,0.03160200767958867,62,wall_collision
30,-4.77,0,3,28,0.8603841919146962,0.027940223637935042,28,wall_collision
31,5.000000000000009,1,4,102,0.8560822709551227,0.04247807268413952,102,wall_collision
32,-4.709999999999999,0,3,62,0.851801859600347,0.031924507604168366,62,wall_collision
33,-6.49,0,3,140,0.8475428503023453,0.034391018391345694,140,wall_collision
34,5.1200000000000045,1,4,70,0.8433051360508336,0.028152771253371612,70,wall_collision
35,-4.56,0,3,57,0.8390886103705794,0.04225689942719774,57,wall_collision
36,14.40000000000003,2,5,183,0.8348931673187264,0.040853119745680073,183,self_collision
37,-4.23,0,3,34,0.8307187014821328,0.05923609473992495,34,wall_collision
38,-4.699999999999999,0,3,111,0.8265651079747222,0.03279725365814761,111,wall_collision
39,-4.17,0,3,28,0.8224322824348486,0.032964386366074905,28,wall_collision
40,5.520000000000005,1,4,50,0.8183201210226743,0.050791629378218205,50,wall_collision
41,5.780000000000001,1,4,44,0.8142285204175609,0.03433024603608911,44,wall_collision
42,-5.119999999999999,0,3,53,0.810157377815473,0.04189464011018709,53,wall_collision
