episode,score,reward,steps,snake_length,termination_reason,seed
1,19,194.79000000000045,231,22,self_collision,1000000
2,21,223.07000000000068,345,24,self_collision,1000001
3,26,272.2400000000002,363,29,self_collision,1000002
4,22,228.09000000000046,284,25,self_collision,1000003
5,10,100.85000000000034,156,13,self_collision,1000004
6,31,330.96999999999815,465,34,self_collision,1000005
7,21,220.4300000000005,309,24,self_collision,1000006
8,19,195.64000000000047,316,22,self_collision,1000007
9,34,358.9599999999977,489,37,self_collision,1000008
10,16,164.5200000000004,225,19,self_collision,1000009
11,16,161.72000000000034,185,19,self_collision,1000010
12,24,255.07000000000045,368,27,self_collision,1000011
13,29,305.4599999999984,404,32,self_collision,1000012
14,18,182.99000000000026,230,21,self_collision,1000013
15,20,211.46000000000063,315,23,self_collision,1000014
16,24,246.0200000000002,273,27,self_collision,1000015
17,19,201.57000000000065,313,22,self_collision,1000016
18,22,232.65000000000006,468,25,self_collision,1000017
19,19,195.13000000000042,237,22,self_collision,1000018
20,11,112.91000000000035,181,14,wall_collision,1000019
21,12,119.4800000000003,145,15,self_collision,1000020
22,23,242.51000000000067,333,26,self_collision,1000021
23,13,131.02000000000032,172,16,self_collision,1000022
24,27,285.329999999999,425,30,self_collision,1000023
25,19,194.8100000000004,249,22,self_collision,1000024
26,49,524.8399999999897,936,52,self_collision,1000025
27,17,170.01000000000022,197,20,self_collision,1000026
28,18,189.94000000000054,305,21,self_collision,1000027
29,15,152.4400000000003,192,18,self_collision,1000028
30,15,156.17000000000053,249,18,self_collision,1000029
31,57,608.1299999999966,1035,60,self_collision,1000030
32,15,153.33000000000033,203,18,self_collision,1000031
33,34,362.7199999999967,523,37,self_collision,1000032
34,42,448.22999999999445,660,45,self_collision,1000033
35,20,211.08000000000058,333,23,self_collision,1000034
36,25,262.2799999999999,398,28,self_collision,1000035
37,23,242.02000000000064,322,26,self_collision,1000036
38,28,297.61999999999864,427,31,self_collision,1000037
39,28,296.0499999999985,414,31,self_collision,1000038
40,18,189.6600000000005,293,21,self_collision,1000039
41,22,234.64000000000073,379,25,self_collision,1000040
42,19,195.95000000000041,255,22,self_collision,1000041
43,29,307.9999999999992,450,32,self_collision,1000042
44,21,215.62000000000043,250,24,self_collision,1000043
45,28,295.6099999999987,418,31,self_collision,1000044
46,18,182.2400000000003,215,21,self_collision,1000045
47,23,244.45000000000073,349,26,self_collision,1000046
48,11,110.07000000000033,155,14,self_collision,1000047
49,28,300.7099999999993,458,31,self_collision,1000048
50,16,167.33000000000052,254,19,self_collision,1000049
51,33,348.7899999999976,485,36,self_collision,1000050
52,10,100.49000000000032,152,13,self_collision,1000051
53,18,187.36000000000055,253,21,self_collision,1000052
54,20,207.96000000000055,275,23,self_collision,1000053
55,8,76.66000000000018,103,11,self_collision,1000054
56,16,166.34000000000043,243,19,self_collision,1000055
57,22,224.87000000000035,266,25,self_collision,1000056
58,33,349.4899999999982,455,36,self_collision,1000057
59,48,517.8099999999913,918,51,self_collision,1000058
60,35,376.11999999999637,544,38,self_collision,1000059
61,35,367.65999999999684,510,38,self_collision,1000060
62,23,240.05000000000052,309,26,self_collision,1000061
63,47,505.8199999999915,786,50,self_collision,1000062
64,22,232.77000000000064,336,25,self_collision,1000063
65,24,253.8100000000005,354,27,self_collision,1000064
66,16,168.62000000000043,275,19,self_collision,1000065
67,15,149.61000000000024,165,18,self_collision,1000066
68,42,442.3199999999941,601,45,self_collision,1000067
69,30,318.209999999999,430,33,self_collision,1000068
70,20,210.90000000000063,301,23,self_collision,1000069
71,19,193.2100000000002,249,22,self_collision,1000070
72,29,311.15999999999894,454,32,self_collision,1000071
73,32,336.94999999999646,598,35,self_collision,1000072
74,23,245.63000000000076,371,26,self_collision,1000073
75,34,367.7499999999961,580,37,self_collision,1000074
76,36,383.1699999999963,490,39,self_collision,1000075
77,23,236.02000000000032,282,26,self_collision,1000076
78,29,304.32999999999856,417,32,self_collision,1000077
79,38,399.9499999999965,474,41,self_collision,1000078
80,25,263.67000000000047,369,28,self_collision,1000079
81,20,210.17000000000064,294,23,self_collision,1000080
82,6,56.250000000000156,92,9,wall_collision,1000081
83,26,269.0699999999991,320,29,self_collision,1000082
84,16,165.9500000000004,252,19,self_collision,1000083
85,28,296.0099999999999,408,31,self_collision,1000084
86,30,320.0499999999979,456,33,self_collision,1000085
87,13,132.4800000000004,186,16,self_collision,1000086
88,36,383.769999999995,620,39,self_collision,1000087
89,25,259.3899999999998,357,28,self_collision,1000088
90,21,219.91000000000054,321,24,self_collision,1000089
91,15,153.23000000000036,203,18,self_collision,1000090
92,28,291.94999999999914,404,31,self_collision,1000091
93,14,145.55000000000047,230,17,self_collision,1000092
94,24,254.98000000000064,367,27,self_collision,1000093
95,24,252.04000000000042,341,27,self_collision,1000094
96,51,550.6999999999939,822,54,self_collision,1000095
97,24,253.92000000000047,353,27,self_collision,1000096
98,28,299.4399999999993,425,31,self_collision,1000097
99,18,186.34000000000052,245,21,self_collision,1000098
100,19,199.9200000000006,288,22,self_collision,1000099
