episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-6.1,0,3,31,0.995,,0,wall_collision
2,-6.640000000000001,0,3,65,0.990025,,0,wall_collision
3,-5.029999999999999,0,3,54,0.985074875,,0,wall_collision
4,-6.66,0,3,47,0.9801495006250001,,0,wall_collision
5,-4.640000000000001,0,3,45,0.9752487531218751,,0,wall_collision
6,-5.83,0,3,14,0.9703725093562657,,0,wall_collision
7,-5.47,0,3,18,0.9655206468094844,,0,wall_collision
8,-6.760000000000001,0,3,97,0.960693043575437,,0,wall_collision
9,-7.640000000000001,0,3,185,0.9558895783575597,,0,wall_collision
10,-5.029999999999999,0,3,54,0.9511101304657719,,0,wall_collision
11,-5.51,0,3,42,0.946354579813443,,0,wall_collision
12,-6.0200000000000005,0,3,143,0.9416228069143757,,0,wall_collision
13,-4.779999999999999,0,3,39,0.9369146928798039,,0,wall_collision
14,-5.3,0,3,31,0.9322301194154049,,0,wall_collision
15,-5.249999999999999,0,3,76,0.9275689688183278,,0,wall_collision
16,-7.32,0,3,133,0.9229311239742362,0.04264228378112118,75,wall_collision
17,-6.029999999999999,0,3,34,0.918316468354365,0.00801223047207767,34,wall_collision
18,-7.180000000000001,0,3,79,0.9137248860125932,0.002033861854192477,79,wall_collision
19,14.72000000000001,2,5,51,0.9091562615825302,0.018531742494315932,51,self_collision
20,-5.13,0,3,64,0.9046104802746175,0.009722038412292022,64,wall_collision
21,-5.43,0,3,114,0.9000874278732445,0.019044390032496795,114,wall_collision
22,-6.5,0,3,31,0.8955869907338783,0.007206742379498939,31,wall_collision
23,-6.950000000000001,0,3,66,0.8911090557802088,0.014952965582999626,66,wall_collision
24,-3.95,0,3,26,0.8866535105013078,0.006393999461299525,26,wall_collision
25,5.710000000000006,1,4,61,0.8822202429488013,0.007933241933284587,61,wall_collision
26,4.340000000000005,1,4,28,0.8778091417340573,0.016419316260518308,28,wall_collision
27,-4.75,0,3,126,0.8734200960253871,0.020589275714421148,126,wall_collision
28,13.940000000000047,2,5,289,0.8690529955452602,0.030470049169805193,289,self_collision
29,6.07,1,4,65,0.8647077305675338,0.03690799802738743,65,wall_collision
30,5.670000000000002,1,4,105,0.8603841919146962,0.02976344656143781,105,wall_collision
31,13.710000000000008,2,5,302,0.8560822709551227,0.03571649463824151,302,self_collision
32,6.010000000000002,1,4,31,0.851801859600347,0.028115965961103117,31,wall_collision
33,16.000000000000018,2,5,143,0.8475428503023453,0.03689632764480148,143,wall_collision
34,15.410000000000007,2,5,52,0.8433051360508336,0.06690574963935293,52,self_collision
35,-6.15,0,3,166,0.8390886103705794,0.03777030094860526,166,wall_collision
36,4.8100000000000165,1,4,111,0.8348931673187264,0.04272915515655375,111,wall_collision
37,-4.22,0,3,63,0.8307187014821328,0.040480254787123866,63,wall_collision
38,16.290000000000013,2,5,124,0.8265651079747222,0.05928647731789463,124,self_collision
39,-6.66,0,3,27,0.8224322824348486,0.06233567972150114,27,wall_collision
40,4.910000000000007,1,4,121,0.8183201210226743,0.04431137136373215,121,wall_collision
41,-4.379999999999999,0,3,59,0.8142285204175609,0.04822435167862765,59,wall_collision
42,4.4300000000000175,1,4,109,0.810157377815473,0.07669127137061645,109,wall_collision
43,6.000000000000018,1,4,162,0.8061065909263957,0.06959711740107453,162,wall_collision
