episode,score,reward,steps,snake_length,termination_reason,seed
1,2,11.219999999999999,21,5,self_collision,1000000
2,8,78.33000000000027,126,11,self_collision,1000001
3,17,173.98000000000042,220,20,self_collision,1000002
4,9,86.17000000000017,103,12,self_collision,1000003
5,13,133.82000000000045,212,16,self_collision,1000004
6,6,55.770000000000095,100,9,self_collision,1000005
7,20,212.29000000000065,322,23,self_collision,1000006
8,10,98.53000000000024,128,13,self_collision,1000007
9,19,196.29000000000042,261,22,self_collision,1000008
10,16,163.45000000000041,202,19,self_collision,1000009
11,8,75.22000000000014,87,11,self_collision,1000010
12,10,101.1700000000003,164,13,self_collision,1000011
13,6,53.98000000000009,69,9,self_collision,1000012
14,9,85.27000000000015,93,12,self_collision,1000013
15,5,45.460000000000136,80,8,self_collision,1000014
16,6,54.29000000000009,68,9,self_collision,1000015
17,3,21.479999999999997,26,6,self_collision,1000016
18,2,11.829999999999998,30,5,self_collision,1000017
19,10,97.86000000000026,125,13,self_collision,1000018
20,5,46.620000000000104,104,8,self_collision,1000019
21,6,55.62000000000015,85,9,self_collision,1000020
22,10,95.9500000000002,106,13,self_collision,1000021
23,9,86.78000000000019,112,12,self_collision,1000022
24,10,96.85000000000024,116,13,self_collision,1000023
25,9,87.44000000000024,116,12,self_collision,1000024
26,21,215.69000000000034,273,24,self_collision,1000025
27,10,95.31000000000017,100,13,self_collision,1000026
28,34,368.8499999999966,580,37,self_collision,1000027
29,7,68.75000000000021,123,10,self_collision,1000028
30,2,11.940000000000001,29,5,self_collision,1000029
31,21,218.29000000000053,283,24,self_collision,1000030
32,4,35.10000000000004,75,7,self_collision,1000031
33,7,64.39000000000011,79,10,self_collision,1000032
34,32,336.36999999999875,396,35,self_collision,1000033
35,6,56.100000000000165,97,9,self_collision,1000034
36,14,143.7400000000004,201,17,self_collision,1000035
37,26,274.10000000000014,367,29,self_collision,1000036
38,8,79.90000000000025,139,11,self_collision,1000037
39,12,119.39000000000036,164,15,self_collision,1000038
40,13,132.80000000000035,194,16,self_collision,1000039
41,4,34.71000000000009,84,7,self_collision,1000040
42,4,32.510000000000026,44,7,self_collision,1000041
43,3,23.35,59,6,wall_collision,1000042
44,20,208.39000000000058,272,23,self_collision,1000043
45,10,96.71000000000022,110,13,self_collision,1000044
46,5,43.570000000000036,59,8,self_collision,1000045
47,17,173.28000000000037,210,20,self_collision,1000046
48,6,54.33000000000007,64,9,wall_collision,1000047
49,8,76.77000000000018,102,11,self_collision,1000048
50,11,113.87000000000046,215,14,self_collision,1000049
51,7,66.77000000000015,101,10,self_collision,1000050
52,8,78.98000000000026,131,11,self_collision,1000051
53,11,110.12000000000033,160,14,self_collision,1000052
54,10,98.38000000000028,133,13,self_collision,1000053
55,19,199.45000000000059,285,22,self_collision,1000054
56,13,133.7500000000004,209,16,self_collision,1000055
57,4,31.25,30,7,self_collision,1000056
58,6,55.70000000000013,97,9,self_collision,1000057
59,8,81.76000000000033,173,11,self_collision,1000058
60,5,45.530000000000086,83,8,self_collision,1000059
61,8,74.07000000000015,72,11,self_collision,1000060
62,3,22.980000000000004,46,6,self_collision,1000061
63,8,77.00000000000021,109,11,self_collision,1000062
64,24,254.07000000000062,388,27,self_collision,1000063
65,13,133.99000000000046,205,16,self_collision,1000064
66,5,47.650000000000084,111,8,self_collision,1000065
67,9,86.06000000000017,104,12,self_collision,1000066
68,12,117.94000000000024,129,15,self_collision,1000067
69,16,166.56000000000046,261,19,self_collision,1000068
70,10,98.86000000000028,145,13,self_collision,1000069
71,2,11.219999999999999,21,5,self_collision,1000070
72,2,11.120000000000001,21,5,self_collision,1000071
73,7,65.4300000000001,85,10,self_collision,1000072
74,3,21.540000000000003,30,6,self_collision,1000073
75,12,120.21000000000029,162,15,self_collision,1000074
76,4,33.48000000000005,57,7,self_collision,1000075
77,7,64.54000000000009,74,10,self_collision,1000076
78,6,54.4500000000001,72,9,self_collision,1000077
79,17,175.19000000000037,249,20,self_collision,1000078
80,3,22.08,36,6,self_collision,1000079
81,25,264.02000000000044,364,28,self_collision,1000080
82,6,56.17000000000017,100,9,self_collision,1000081
83,35,369.5599999999969,450,38,self_collision,1000082
84,31,332.15999999999843,496,34,self_collision,1000083
85,21,220.25000000000057,307,24,self_collision,1000084
86,10,98.92000000000033,139,13,self_collision,1000085
87,5,43.91000000000008,65,8,self_collision,1000086
88,10,100.20000000000026,151,13,self_collision,1000087
89,7,63.92000000000009,76,10,self_collision,1000088
90,2,11.11,22,5,self_collision,1000089
91,12,120.02000000000032,171,15,wall_collision,1000090
92,5,45.03000000000008,73,8,self_collision,1000091
93,13,133.94000000000048,200,16,self_collision,1000092
94,12,123.59000000000046,204,15,self_collision,1000093
95,14,142.98000000000036,197,17,self_collision,1000094
96,4,34.580000000000055,67,7,self_collision,1000095
97,3,22.979999999999997,46,6,self_collision,1000096
98,11,111.53000000000034,169,14,self_collision,1000097
99,4,32.06000000000001,39,7,self_collision,1000098
100,19,198.86000000000058,274,22,self_collision,1000099
