episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-6.1,0,3,31,0.997,,0,wall_collision
2,-6.640000000000001,0,3,65,0.994009,,0,wall_collision
3,-7.23,0,3,74,0.991026973,,0,wall_collision
4,-6.2299999999999995,0,3,74,0.988053892081,,0,wall_collision
5,-5.789999999999999,0,3,30,0.985089730404757,,0,wall_collision
6,-7.16,0,3,97,0.9821344612135428,,0,wall_collision
7,-6.750000000000001,0,3,46,0.9791880578299021,,0,wall_collision
8,-6.43,0,3,54,0.9762504936564125,,0,wall_collision
9,-6.12,0,3,33,0.9733217421754432,,0,wall_collision
10,-6.330000000000002,0,3,104,0.9704017769489168,,0,wall_collision
11,-4.77,0,3,48,0.9674905716180701,,0,wall_collision
12,-7.5,0,3,151,0.9645880999032158,,0,wall_collision
13,-6.700000000000001,0,3,51,0.9616943356035061,,0,wall_collision
14,-6.22,0,3,23,0.9588092525966956,,0,wall_collision
15,-7.180000000000001,0,3,39,0.9559328248389055,,0,wall_collision
16,-7.5200000000000005,0,3,73,0.9530650263643888,,0,wall_collision
17,5.100000000000005,1,4,52,0.9502058312852957,0.0927252788210551,46,wall_collision
18,-5.409999999999999,0,3,32,0.9473552137914398,0.03565982065447315,32,wall_collision
19,13.970000000000013,2,5,66,0.9445131481500655,0.023649752398451903,66,self_collision
20,-6.140000000000001,0,3,55,0.9416796087056153,0.03193641842438162,55,wall_collision
21,-6.08,0,3,49,0.9388545698794984,0.012382749080829019,49,wall_collision
22,5.020000000000026,1,4,220,0.93603800616986,0.02774645962199429,220,wall_collision
23,-6.61,0,3,52,0.9332298921513504,0.028326118658207215,52,wall_collision
24,-4.529999999999999,0,3,24,0.9304302024748964,0.002249847801673847,24,wall_collision
25,-4.779999999999999,0,3,19,0.9276389118674717,0.01671455050879893,19,wall_collision
26,-7.710000000000001,0,3,102,0.9248559951318693,0.02370191933176316,102,wall_collision
27,-4.619999999999999,0,3,43,0.9220814271464737,0.02356230185927585,43,wall_collision
28,-4.779999999999999,0,3,79,0.9193151828650342,0.01564498672805597,79,wall_collision
29,-4.85,0,3,36,0.9165572373164391,0.017008548716451816,36,wall_collision
30,-6.15,0,3,46,0.9138075656044898,0.01981984931563088,46,wall_collision
31,13.470000000000045,2,5,306,0.9110661429076764,0.02950520522070149,306,wall_collision
32,-4.47,0,3,38,0.9083329444789534,0.00735893732819118,38,wall_collision
33,2.880000000000024,1,4,194,0.9056079456455165,0.029007264226915064,194,wall_collision
34,-6.290000000000001,0,3,100,0.90289112180858,0.035032537713996136,100,wall_collision
35,-6.880000000000001,0,3,109,0.9001824484431542,0.02938079218692018,109,wall_collision
36,-5.43,0,3,34,0.8974819010978248,0.032612113052677805,34,wall_collision
37,-6.42,0,3,103,0.8947894553945313,0.026200388054119297,103,wall_collision
38,-4.659999999999999,0,3,67,0.8921050870283477,0.03146957422071484,67,wall_collision
39,-4.01,0,3,32,0.8894287717672626,0.017663929507762077,32,wall_collision
40,-5.369999999999999,0,3,28,0.8867604854519608,0.0322401800991169,28,wall_collision
