episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-6.1,0,3,31,0.995,,0,wall_collision
2,-6.640000000000001,0,3,65,0.990025,,0,wall_collision
3,-7.23,0,3,74,0.985074875,,0,wall_collision
4,-6.2299999999999995,0,3,74,0.9801495006250001,,0,wall_collision
5,-6.33,0,3,24,0.9752487531218751,,0,wall_collision
6,-7.280000000000001,0,3,149,0.9703725093562657,,0,wall_collision
7,-6.15,0,3,46,0.9655206468094844,,0,wall_collision
8,-7.21,0,3,152,0.960693043575437,,0,wall_collision
9,5.73,1,4,19,0.9558895783575597,,0,wall_collision
10,-6.26,0,3,27,0.9511101304657719,,0,wall_collision
11,-6.750000000000001,0,3,226,0.946354579813443,,0,wall_collision
12,-6.720000000000001,0,3,33,0.9416228069143757,,0,wall_collision
13,-6.08,0,3,29,0.9369146928798039,,0,wall_collision
14,-5.31,0,3,42,0.9322301194154049,,0,wall_collision
15,4.0800000000000125,1,4,194,0.9275689688183278,0.04201941558889674,186,wall_collision
16,3.9000000000000092,1,4,72,0.9229311239742362,0.017818821069441684,72,wall_collision
17,-7.940000000000001,0,3,275,0.918316468354365,0.021046994013754143,275,wall_collision
18,-5.27,0,3,38,0.9137248860125932,0.020927348696491925,38,wall_collision
19,-6.13,0,3,84,0.9091562615825302,0.02148306097210263,84,wall_collision
20,-6.53,0,3,104,0.9046104802746175,0.01608027493980794,104,wall_collision
21,-4.629999999999999,0,3,54,0.9000874278732445,0.012100807513989922,54,wall_collision
22,-6.57,0,3,48,0.8955869907338783,0.006964884880896231,48,wall_collision
23,-5.93,0,3,64,0.8911090557802088,0.01665153224689675,64,wall_collision
24,6.0600000000000005,1,4,36,0.8866535105013078,0.020356651212447712,36,wall_collision
25,-6.69,0,3,120,0.8822202429488013,0.01581570362711015,120,wall_collision
26,-6.95,0,3,66,0.8778091417340573,0.017652173061805748,66,wall_collision
27,-4.12,0,3,53,0.8734200960253871,0.017173185295486858,53,wall_collision
28,-5.199999999999999,0,3,121,0.8690529955452602,0.021117036182756635,121,wall_collision
29,-4.709999999999999,0,3,62,0.8647077305675338,0.023116861509474656,62,wall_collision
30,-4.0600000000000005,0,3,47,0.8603841919146962,0.028326221319420777,47,wall_collision
31,4.140000000000024,1,4,188,0.8560822709551227,0.021522333392838728,188,wall_collision
32,-4.62,0,3,23,0.851801859600347,0.017210956946339295,23,wall_collision
33,15.650000000000002,2,5,68,0.8475428503023453,0.01851309989561902,68,self_collision
34,14.240000000000006,2,5,239,0.8433051360508336,0.030966465034089577,239,self_collision
35,-4.36,0,3,17,0.8390886103705794,0.020646085127202028,17,wall_collision
36,4.570000000000006,1,4,35,0.8348931673187264,0.029465619677544703,35,wall_collision
37,-4.26,0,3,67,0.8307187014821328,0.037667782204885925,67,wall_collision
38,16.45000000000001,2,5,88,0.8265651079747222,0.02926079222809428,88,self_collision
39,-6.61,0,3,92,0.8224322824348486,0.03453438643855802,92,wall_collision
40,-6.369999999999999,0,3,88,0.8183201210226743,0.042750782042937564,88,wall_collision
41,5.530000000000001,1,4,59,0.8142285204175609,0.041089098811765215,59,wall_collision
42,5.030000000000008,1,4,69,0.810157377815473,0.05408278362997605,69,wall_collision
43,6.710000000000008,1,4,81,0.8061065909263957,0.049295986562041726,81,wall_collision
