episode,score,reward,steps,snake_length,termination_reason,seed
1,44,464.32999999999333,612,47,self_collision,1000000
2,30,323.6299999999979,538,33,self_collision,1000001
3,17,173.3400000000004,204,20,self_collision,1000002
4,38,406.24999999999386,624,41,self_collision,1000003
5,16,166.26000000000042,251,19,self_collision,1000004
6,15,154.82000000000042,214,18,self_collision,1000005
7,21,221.16000000000057,306,24,self_collision,1000006
8,34,359.39999999999606,485,37,self_collision,1000007
9,15,151.8600000000003,190,18,wall_collision,1000008
10,16,163.45000000000041,202,19,self_collision,1000009
11,26,267.36999999999927,320,29,self_collision,1000010
12,26,277.37999999999926,469,29,self_collision,1000011
13,30,317.5599999999986,415,33,self_collision,1000012
14,18,184.78000000000037,241,21,self_collision,1000013
15,21,222.11000000000033,401,24,self_collision,1000014
16,41,429.75999999999567,486,44,self_collision,1000015
17,13,129.69000000000025,155,16,self_collision,1000016
18,27,287.95999999999935,452,30,wall_collision,1000017
19,28,289.3399999999991,345,31,self_collision,1000018
20,41,440.23999999999097,778,44,self_collision,1000019
21,32,-44.88000000022789,40000,35,step_limit,1000020
22,28,297.6299999999987,406,31,self_collision,1000021
23,19,-192.31000000003303,40000,22,step_limit,1000022
24,10,97.09000000000022,112,13,self_collision,1000023
25,20,206.0900000000003,292,23,self_collision,1000024
26,25,259.99999999999983,386,28,self_collision,1000025
27,24,-139.56000000003553,40000,27,step_limit,1000026
28,12,-262.080000000042,40000,15,step_limit,1000027
29,35,365.91999999999786,394,38,self_collision,1000028
30,17,177.57000000000056,251,20,self_collision,1000029
31,19,196.5900000000005,251,22,self_collision,1000030
32,44,469.0399999999921,771,47,self_collision,1000031
33,23,241.37000000000063,317,26,self_collision,1000032
34,28,294.359999999999,453,31,self_collision,1000033
35,6,-333.34000000018807,40000,9,step_limit,1000034
36,13,-255.57000000003333,40000,16,step_limit,1000035
37,15,156.22000000000048,234,18,self_collision,1000036
38,23,243.10000000000048,374,26,self_collision,1000037
39,39,417.2699999999948,583,42,self_collision,1000038
40,29,309.5199999999992,438,32,self_collision,1000039
41,26,277.0899999999999,408,29,self_collision,1000040
42,42,448.8099999999926,672,45,self_collision,1000041
43,17,176.9000000000003,308,20,wall_collision,1000042
44,20,206.9900000000004,282,23,self_collision,1000043
45,12,-269.0800000000521,40000,15,step_limit,1000044
46,31,325.74999999999767,417,34,self_collision,1000045
47,34,362.49999999999625,525,37,self_collision,1000046
48,13,129.6300000000003,161,16,self_collision,1000047
49,30,-68.50000000017741,40000,33,step_limit,1000048
50,36,381.98999999999603,578,39,self_collision,1000049
51,33,348.24999999999795,469,36,self_collision,1000050
52,1,-388.0900000003012,40000,4,step_limit,1000051
53,19,196.7800000000005,252,22,self_collision,1000052
54,22,228.78000000000054,295,25,self_collision,1000053
55,37,396.309999999995,637,40,self_collision,1000054
56,18,186.75000000000023,294,21,wall_collision,1000055
57,19,194.71000000000043,239,22,self_collision,1000056
58,12,122.36000000000038,177,15,self_collision,1000057
59,27,289.46999999999997,441,30,self_collision,1000058
60,35,374.2399999999952,572,38,wall_collision,1000059
61,33,348.42999999999734,511,36,self_collision,1000060
62,40,422.9899999999963,532,43,self_collision,1000061
63,60,647.3099999999946,1030,63,self_collision,1000062
64,38,409.53999999999553,585,41,self_collision,1000063
65,22,231.89000000000064,324,25,self_collision,1000064
66,18,189.60000000000048,279,21,self_collision,1000065
67,19,-195.4100000000333,40000,22,step_limit,1000066
68,39,407.699999999996,480,42,self_collision,1000067
69,32,335.88999999999845,454,35,self_collision,1000068
70,18,188.41000000000054,268,21,self_collision,1000069
71,19,191.80000000000035,210,22,self_collision,1000070
72,31,330.51999999999794,530,34,self_collision,1000071
73,19,199.90000000000052,300,22,self_collision,1000072
74,25,266.1100000000003,385,28,self_collision,1000073
75,25,265.3800000000005,368,28,self_collision,1000074
76,21,217.8000000000003,322,24,self_collision,1000075
77,35,370.97999999999575,538,38,self_collision,1000076
78,28,292.45999999999896,373,31,self_collision,1000077
79,38,401.7499999999946,564,41,self_collision,1000078
80,28,298.269999999999,412,31,self_collision,1000079
81,33,347.96999999999787,467,36,self_collision,1000080
82,8,78.28000000000024,121,11,self_collision,1000081
83,47,499.55999999999136,692,50,self_collision,1000082
84,21,-165.69000000003246,40000,24,step_limit,1000083
85,8,74.96000000000016,93,11,self_collision,1000084
86,20,208.3200000000006,269,23,self_collision,1000085
87,31,329.99999999999727,512,34,self_collision,1000086
88,25,263.0,366,28,self_collision,1000087
89,41,424.0699999999941,615,44,self_collision,1000088
90,4,32.030000000000044,52,7,wall_collision,1000089
91,60,638.6999999999988,1001,63,self_collision,1000090
92,21,219.45000000000056,287,24,self_collision,1000091
93,13,133.96000000000046,198,16,self_collision,1000092
94,48,512.8499999999922,854,51,self_collision,1000093
95,47,500.6299999999908,775,50,self_collision,1000094
96,29,309.1699999999988,463,32,self_collision,1000095
97,30,-71.1000000001725,40000,33,step_limit,1000096
98,28,300.5299999999979,506,31,self_collision,1000097
99,37,393.91999999999433,626,40,self_collision,1000098
100,19,197.72000000000057,258,22,self_collision,1000099
