episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-6.1,0,3,31,0.995,,0,wall_collision
2,-6.640000000000001,0,3,65,0.990025,,0,wall_collision
3,-7.23,0,3,74,0.985074875,,0,wall_collision
4,-6.2299999999999995,0,3,74,0.9801495006250001,,0,wall_collision
5,-6.33,0,3,24,0.9752487531218751,,0,wall_collision
6,-7.280000000000001,0,3,149,0.9703725093562657,,0,wall_collision
7,-6.15,0,3,46,0.9655206468094844,,0,wall_collision
8,-7.21,0,3,152,0.960693043575437,,0,wall_collision
9,5.73,1,4,19,0.9558895783575597,,0,wall_collision
10,-6.26,0,3,27,0.9511101304657719,,0,wall_collision
11,-6.750000000000001,0,3,226,0.946354579813443,,0,wall_collision
12,-6.720000000000001,0,3,33,0.9416228069143757,,0,wall_collision
13,-6.08,0,3,29,0.9369146928798039,,0,wall_collision
14,-5.31,0,3,42,0.9322301194154049,,0,wall_collision
15,-7.020000000000001,0,3,43,0.9275689688183278,0.06800486309221014,35,wall_collision
16,-6.680000000000001,0,3,49,0.9229311239742362,0.07178854143688912,49,wall_collision
17,-4.89,0,3,60,0.918316468354365,0.05350094980870684,60,wall_collision
18,-7.28,0,3,109,0.9137248860125932,0.021083607999212748,109,wall_collision
19,14.310000000000016,2,5,142,0.9091562615825302,0.014995326973316686,142,self_collision
20,-6.15,0,3,26,0.9046104802746175,0.03586838044150052,26,wall_collision
21,-6.119999999999999,0,3,53,0.9000874278732445,0.02879639048039263,53,wall_collision
22,-6.41,0,3,92,0.8955869907338783,0.0206272630085827,92,wall_collision
23,2.7100000000000106,1,4,101,0.8911090557802088,0.03183800985403866,101,wall_collision
24,-5.390000000000001,0,3,110,0.8866535105013078,0.02407790613440077,110,wall_collision
25,-5.41,0,3,32,0.8822202429488013,0.041374836387149116,32,wall_collision
26,14.96,2,5,27,0.8778091417340573,0.012088895910656665,27,self_collision
27,-5.55,0,3,66,0.8734200960253871,0.03211268149783736,66,wall_collision
28,-4.8,0,3,61,0.8690529955452602,0.02942192940123486,61,wall_collision
29,-4.69,0,3,60,0.8647077305675338,0.03357413526949434,60,wall_collision
30,6.010000000000009,1,4,71,0.8603841919146962,0.023044914510560184,71,wall_collision
31,15.25000000000001,2,5,168,0.8560822709551227,0.02521346260393676,168,self_collision
32,-5.27,0,3,58,0.851801859600347,0.05100982096688501,58,wall_collision
33,4.790000000000022,1,4,153,0.8475428503023453,0.044574686042847284,153,wall_collision
34,12.68999999999999,2,5,304,0.8433051360508336,0.03688436777606272,304,wall_collision
35,-5.27,0,3,118,0.8390886103705794,0.04948085371747226,118,wall_collision
36,-5.859999999999999,0,3,47,0.8348931673187264,0.027270752323563508,47,wall_collision
37,16.60000000000002,2,5,163,0.8307187014821328,0.03818030635832718,163,self_collision
38,-4.06,0,3,27,0.8265651079747222,0.03389001851556478,27,wall_collision
39,-4.26,0,3,67,0.8224322824348486,0.04668084660513716,67,wall_collision
40,-6.28,0,3,29,0.8183201210226743,0.04649684552488656,29,wall_collision
41,5.66,1,4,56,0.8142285204175609,0.05359500056199197,56,wall_collision
42,4.71000000000001,1,4,61,0.810157377815473,0.03693993161356107,61,wall_collision
43,-5.62,0,3,83,0.8061065909263957,0.039656489123926913,83,wall_collision
