episode,score,reward,steps,snake_length,termination_reason,seed
1,36,379.6199999999948,575,39,self_collision,1000000
2,22,233.79000000000073,374,25,self_collision,1000001
3,48,512.8799999999902,871,51,self_collision,1000002
4,19,194.8000000000004,240,22,self_collision,1000003
5,35,374.7299999999962,603,38,self_collision,1000004
6,37,397.1599999999944,702,40,self_collision,1000005
7,23,240.6500000000004,349,26,self_collision,1000006
8,23,238.88000000000048,326,26,self_collision,1000007
9,22,230.23000000000042,350,25,self_collision,1000008
10,20,208.71000000000052,300,23,self_collision,1000009
11,22,225.76000000000033,307,25,self_collision,1000010
12,14,145.6200000000004,233,17,self_collision,1000011
13,36,382.67999999999444,619,39,self_collision,1000012
14,19,195.70000000000044,260,22,self_collision,1000013
15,30,318.77999999999906,453,33,self_collision,1000014
16,24,246.0600000000003,369,27,self_collision,1000015
17,47,500.3799999999914,830,50,self_collision,1000016
18,19,201.52000000000064,328,22,self_collision,1000017
19,10,99.12000000000033,159,13,wall_collision,1000018
20,24,253.99000000000058,396,27,self_collision,1000019
21,28,295.27999999999946,421,31,self_collision,1000020
22,23,240.34000000000057,350,26,self_collision,1000021
23,45,483.5399999999924,712,48,self_collision,1000022
24,43,464.35999999999143,818,46,self_collision,1000023
25,28,294.499999999998,399,31,self_collision,1000024
26,18,187.16000000000057,273,21,self_collision,1000025
27,16,159.65000000000023,182,19,self_collision,1000026
28,36,388.219999999995,655,39,wall_collision,1000027
29,52,560.8699999999915,946,55,self_collision,1000028
30,26,273.7399999999989,513,29,self_collision,1000029
31,32,339.96999999999775,506,35,self_collision,1000030
32,33,346.28999999999706,515,36,self_collision,1000031
33,44,469.2699999999914,828,47,self_collision,1000032
34,18,187.6300000000006,266,21,self_collision,1000033
35,15,153.9400000000004,222,18,self_collision,1000034
36,19,196.79000000000013,331,22,self_collision,1000035
37,24,251.15000000000032,360,27,self_collision,1000036
38,21,218.34000000000026,348,24,self_collision,1000037
39,11,-280.1900000000733,40000,14,step_limit,1000038
40,26,277.07999999999987,459,29,self_collision,1000039
41,24,256.9100000000005,404,27,self_collision,1000040
42,43,457.86999999999244,677,46,wall_collision,1000041
43,31,330.48999999999825,513,34,self_collision,1000042
44,19,197.9100000000005,299,22,self_collision,1000043
45,44,469.7199999999927,723,47,self_collision,1000044
46,31,321.5199999999972,430,34,self_collision,1000045
47,24,253.63000000000017,392,27,self_collision,1000046
48,44,471.3599999999901,889,47,self_collision,1000047
49,13,133.7300000000004,211,16,wall_collision,1000048
50,38,405.4599999999942,733,41,self_collision,1000049
51,20,208.85000000000045,306,23,self_collision,1000050
52,41,439.21999999999485,730,44,self_collision,1000051
53,19,197.94000000000045,286,22,self_collision,1000052
54,23,238.46000000000052,308,26,self_collision,1000053
55,27,286.7299999999987,465,30,self_collision,1000054
56,25,261.1899999999999,417,28,self_collision,1000055
57,22,223.79000000000048,254,25,self_collision,1000056
58,12,122.23000000000039,180,15,self_collision,1000057
59,27,289.33000000000004,455,30,self_collision,1000058
60,46,497.76999999998975,860,49,self_collision,1000059
61,26,272.4799999999996,369,29,self_collision,1000060
62,28,293.18999999999943,420,31,self_collision,1000061
63,21,221.08000000000052,354,24,self_collision,1000062
64,29,310.5999999999988,500,32,wall_collision,1000063
65,30,321.1999999999976,511,33,self_collision,1000064
66,23,245.95000000000033,389,26,self_collision,1000065
67,32,333.9799999999973,445,35,self_collision,1000066
68,14,139.17000000000021,168,17,self_collision,1000067
69,30,317.409999999998,490,33,self_collision,1000068
70,43,459.4199999999938,722,46,self_collision,1000069
71,11,107.60000000000032,152,14,wall_collision,1000070
72,34,366.4099999999968,554,37,wall_collision,1000071
73,53,572.4999999999924,914,56,self_collision,1000072
74,46,495.4699999999912,870,49,self_collision,1000073
75,18,186.28000000000046,251,21,self_collision,1000074
76,22,228.06000000000034,357,25,self_collision,1000075
77,41,437.7299999999882,889,44,self_collision,1000076
78,41,435.029999999995,599,44,self_collision,1000077
79,15,151.8700000000003,199,18,self_collision,1000078
80,20,208.6200000000005,319,23,self_collision,1000079
81,38,404.9699999999954,622,41,self_collision,1000080
82,5,44.57000000000019,119,8,wall_collision,1000081
83,29,302.8699999999985,403,32,self_collision,1000082
84,14,143.61000000000033,264,17,wall_collision,1000083
85,28,295.619999999999,447,31,self_collision,1000084
86,25,263.2499999999997,451,28,self_collision,1000085
87,32,338.429999999997,520,35,self_collision,1000086
88,23,243.72000000000048,382,26,self_collision,1000087
89,14,137.85000000000028,160,17,self_collision,1000088
90,17,178.43000000000058,285,20,self_collision,1000089
91,47,503.2199999999922,796,50,self_collision,1000090
92,40,424.8399999999947,627,43,self_collision,1000091
93,23,240.89000000000047,345,26,self_collision,1000092
94,32,345.8899999999959,654,35,wall_collision,1000093
95,21,216.73000000000033,299,24,self_collision,1000094
96,29,310.44999999999834,515,32,self_collision,1000095
97,9,87.6800000000002,122,12,self_collision,1000096
98,22,232.7500000000006,358,25,self_collision,1000097
99,26,271.8300000000001,374,29,self_collision,1000098
100,26,274.52999999999963,444,29,self_collision,1000099
