episode,score,reward,steps,snake_length,termination_reason,seed
1,26,269.6599999999994,361,29,self_collision,1000000
2,28,301.8699999999989,452,31,self_collision,1000001
3,17,173.3400000000004,204,20,self_collision,1000002
4,23,239.17000000000053,297,26,self_collision,1000003
5,46,495.0399999999922,763,49,self_collision,1000004
6,53,569.2599999999948,978,56,self_collision,1000005
7,20,212.28000000000054,333,23,self_collision,1000006
8,39,413.6599999999914,724,42,self_collision,1000007
9,15,151.8400000000003,192,18,wall_collision,1000008
10,16,163.81000000000043,206,19,self_collision,1000009
11,41,430.749999999995,557,44,self_collision,1000010
12,23,244.00000000000057,364,26,self_collision,1000011
13,42,451.1399999999935,649,45,self_collision,1000012
14,18,184.24000000000035,235,21,self_collision,1000013
15,19,201.84000000000069,316,22,self_collision,1000014
16,6,54.36000000000011,71,9,self_collision,1000015
17,39,414.6199999999957,568,42,self_collision,1000016
18,37,394.0999999999969,548,40,self_collision,1000017
19,12,118.6400000000003,149,15,self_collision,1000018
20,56,601.089999999993,1038,59,self_collision,1000019
21,20,206.53000000000046,258,23,self_collision,1000020
22,32,341.23999999999705,499,35,self_collision,1000021
23,21,215.50000000000028,272,24,self_collision,1000022
24,10,97.09000000000022,112,13,self_collision,1000023
25,18,185.39000000000047,250,21,self_collision,1000024
26,37,392.1299999999962,525,40,self_collision,1000025
27,37,387.7899999999951,549,40,self_collision,1000026
28,29,311.5599999999981,514,32,self_collision,1000027
29,44,465.1999999999936,595,47,self_collision,1000028
30,34,362.96999999999656,528,37,self_collision,1000029
31,32,338.9299999999989,430,35,self_collision,1000030
32,31,325.949999999997,507,34,self_collision,1000031
33,23,241.03000000000029,391,26,self_collision,1000032
34,35,370.3099999999964,575,38,self_collision,1000033
35,10,100.79000000000038,162,13,self_collision,1000034
36,62,673.5899999999983,1134,65,self_collision,1000035
37,42,449.1999999999935,703,45,self_collision,1000036
38,23,243.04000000000053,360,26,self_collision,1000037
39,46,496.3999999999917,727,49,self_collision,1000038
40,23,246.41000000000065,373,26,self_collision,1000039
41,49,521.5399999999912,846,52,self_collision,1000040
42,31,328.86999999999654,515,34,self_collision,1000041
43,33,350.5399999999974,530,36,self_collision,1000042
44,37,393.24999999999613,533,40,self_collision,1000043
45,42,448.0699999999943,646,45,self_collision,1000044
46,33,347.69999999999555,544,36,self_collision,1000045
47,32,342.02999999999724,520,35,self_collision,1000046
48,33,345.76999999999765,447,36,self_collision,1000047
49,23,243.12000000000052,372,26,self_collision,1000048
50,32,340.35999999999785,487,35,self_collision,1000049
51,15,155.48000000000044,228,18,self_collision,1000050
52,2,11.68,35,5,wall_collision,1000051
53,49,530.8699999999907,923,52,self_collision,1000052
54,34,354.7399999999967,501,37,self_collision,1000053
55,18,190.69000000000062,300,21,self_collision,1000054
56,24,250.74,391,27,self_collision,1000055
57,13,128.2000000000003,154,16,self_collision,1000056
58,36,384.409999999996,586,39,self_collision,1000057
59,11,112.25000000000036,177,14,self_collision,1000058
60,46,497.1999999999906,787,49,self_collision,1000059
61,33,350.54999999999774,519,36,self_collision,1000060
62,49,525.7699999999932,753,52,wall_collision,1000061
63,30,320.76999999999845,464,33,self_collision,1000062
64,37,394.629999999996,545,40,self_collision,1000063
65,41,440.0199999999927,720,44,self_collision,1000064
66,43,461.809999999994,693,46,self_collision,1000065
67,14,139.09000000000023,156,17,self_collision,1000066
68,13,128.82000000000022,142,16,self_collision,1000067
69,49,523.8499999999924,845,52,wall_collision,1000068
70,27,290.50999999999885,457,30,self_collision,1000069
71,55,586.259999999995,890,58,self_collision,1000070
72,38,408.20999999999606,588,41,self_collision,1000071
73,32,341.86999999999796,506,35,self_collision,1000072
74,38,406.729999999995,626,41,self_collision,1000073
75,36,384.0199999999957,575,39,self_collision,1000074
76,21,216.8400000000005,258,24,self_collision,1000075
77,19,195.52000000000046,248,22,self_collision,1000076
78,44,466.96999999999275,668,47,self_collision,1000077
79,12,119.42000000000021,151,15,self_collision,1000078
80,27,285.7499999999996,383,30,wall_collision,1000079
81,28,294.62999999999914,436,31,self_collision,1000080
82,39,420.66999999999405,683,42,self_collision,1000081
83,27,280.08999999999963,309,30,self_collision,1000082
84,22,230.54000000000056,309,25,wall_collision,1000083
85,25,263.8600000000006,360,28,self_collision,1000084
86,38,408.21999999999514,597,41,self_collision,1000085
87,31,329.57999999999686,534,34,self_collision,1000086
88,25,263.7,376,28,self_collision,1000087
89,38,394.3199999999972,497,41,self_collision,1000088
90,26,275.3399999999997,373,29,self_collision,1000089
91,36,383.4299999999973,524,39,self_collision,1000090
92,14,142.19000000000034,186,17,self_collision,1000091
93,33,354.7099999999969,573,36,self_collision,1000092
94,39,418.86999999999466,663,42,self_collision,1000093
95,44,468.4199999999907,803,47,wall_collision,1000094
96,36,385.2999999999961,587,39,wall_collision,1000095
97,21,216.4900000000004,263,24,self_collision,1000096
98,28,302.36999999999784,522,31,self_collision,1000097
99,32,338.8999999999975,463,35,self_collision,1000098
100,16,165.43000000000046,234,19,self_collision,1000099
