episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-10.700000000000001,0,3,31,0.995,,0,wall_collision
2,-11.14,0,3,65,0.990025,,0,wall_collision
3,-11.48,0,3,74,0.985074875,,0,wall_collision
4,-10.98,0,3,74,0.9801495006250001,,0,wall_collision
5,-10.780000000000001,0,3,24,0.9752487531218751,,0,wall_collision
6,-11.88,0,3,149,0.9703725093562657,,0,wall_collision
7,-10.8,0,3,46,0.9655206468094844,,0,wall_collision
8,-11.860000000000001,0,3,152,0.960693043575437,,0,wall_collision
9,0.2799999999999905,1,4,19,0.9558895783575597,,0,wall_collision
10,-10.76,0,3,27,0.9511101304657719,,0,wall_collision
11,-12.000000000000002,0,3,226,0.946354579813443,,0,wall_collision
12,-11.02,0,3,33,0.9416228069143757,,0,wall_collision
13,-10.68,0,3,29,0.9369146928798039,,0,wall_collision
14,-10.36,0,3,42,0.9322301194154049,,0,wall_collision
15,-11.22,0,3,98,0.9275689688183278,0.13901766127156506,90,wall_collision
16,9.699999999999967,2,5,78,0.9229311239742362,0.06886154296957195,78,self_collision
17,-10.14,0,3,45,0.918316468354365,0.0260623773223617,45,wall_collision
18,-10.44,0,3,20,0.9137248860125932,0.041451997199328613,20,wall_collision
19,-11.780000000000001,0,3,164,0.9091562615825302,0.020162830364758366,164,wall_collision
20,-10.8,0,3,21,0.9046104802746175,0.03019274648423085,21,wall_collision
21,-10.860000000000001,0,3,57,0.9000874278732445,0.019307438883595495,57,wall_collision
22,-10.84,0,3,45,0.8955869907338783,0.01703196087360589,45,wall_collision
23,0.15999999999999304,1,4,26,0.8911090557802088,0.0138884347196346,26,wall_collision
24,-10.28,0,3,29,0.8866535105013078,0.032651913104426306,29,wall_collision
25,-1.1400000000000627,1,4,126,0.8822202429488013,0.030265721233768597,126,wall_collision
26,-10.88,0,3,44,0.8778091417340573,0.03888847912061134,44,wall_collision
27,-9.8,0,3,51,0.8734200960253871,0.024834204301370455,51,wall_collision
28,-10.42,0,3,78,0.8690529955452602,0.02172165087857791,78,wall_collision
29,-10.42,0,3,73,0.8647077305675338,0.020796511043182076,73,wall_collision
30,-10.28,0,3,54,0.8603841919146962,0.03532422523454039,54,wall_collision
31,10.459999999999987,2,5,47,0.8560822709551227,0.03204591138575701,47,self_collision
32,-10.860000000000001,0,3,47,0.851801859600347,0.04631905727078544,47,wall_collision
33,9.279999999999944,2,5,120,0.8475428503023453,0.03532874560041819,120,self_collision
34,-11.180000000000001,0,3,84,0.8433051360508336,0.0413301338239329,84,wall_collision
35,-10.06,0,3,32,0.8390886103705794,0.04910488063615048,32,wall_collision
36,8.61999999999992,2,5,221,0.8348931673187264,0.038228187842265074,221,self_collision
37,-9.84,0,3,35,0.8307187014821328,0.05109141291052635,35,wall_collision
38,-9.9,0,3,46,0.8265651079747222,0.061659394522987146,46,wall_collision
39,-10.18,0,3,84,0.8224322824348486,0.04470751818042204,84,wall_collision
40,-0.8800000000000718,1,4,185,0.8183201210226743,0.03849124891551312,185,wall_collision
41,-10.5,0,3,81,0.8142285204175609,0.0433844720778044,81,wall_collision
42,0.019999999999997797,1,4,35,0.810157377815473,0.04097559762054256,35,wall_collision
43,0.17999999999997307,1,4,74,0.8061065909263957,0.036313596985466476,74,wall_collision
44,-10.3,0,3,46,0.8020760579717637,0.044367626597902374,46,wall_collision
45,7.819999999999986,2,5,261,0.798065677681905,0.04780489802708442,261,self_collision
