episode,score,reward,steps,snake_length,termination_reason,seed
1,34,355.9799999999971,437,37,self_collision,1000000
2,6,-333.1400000001876,40000,9,step_limit,1000001
3,1,-388.6900000003021,40000,4,step_limit,1000002
4,32,341.55999999999597,537,35,self_collision,1000003
5,28,295.58999999999884,420,31,self_collision,1000004
6,7,-321.4300000001629,40000,10,step_limit,1000005
7,33,353.7399999999969,520,36,self_collision,1000006
8,11,-279.0900000000728,40000,14,step_limit,1000007
9,14,141.51000000000008,234,17,self_collision,1000008
10,49,530.879999999995,882,52,wall_collision,1000009
11,17,172.30000000000035,198,20,self_collision,1000010
12,22,232.86000000000058,337,25,self_collision,1000011
13,8,-312.52000000014374,40000,11,step_limit,1000012
14,17,174.06000000000037,232,20,self_collision,1000013
15,36,386.059999999996,571,39,self_collision,1000014
16,32,333.99999999999784,373,35,self_collision,1000015
17,8,78.15000000000025,124,11,self_collision,1000016
18,6,-329.74000000018015,40000,9,step_limit,1000017
19,23,236.29000000000045,285,26,self_collision,1000018
20,33,351.65999999999696,518,36,self_collision,1000019
21,12,119.46000000000032,147,15,self_collision,1000020
22,23,242.82000000000062,352,26,self_collision,1000021
23,44,471.34999999999366,640,47,self_collision,1000022
24,37,397.7399999999947,604,40,self_collision,1000023
25,17,173.92000000000036,226,20,self_collision,1000024
26,23,238.05000000000032,319,26,self_collision,1000025
27,27,282.05999999999926,372,30,self_collision,1000026
28,25,268.86999999999955,429,28,self_collision,1000027
29,17,173.26000000000028,212,20,self_collision,1000028
30,33,352.2899999999966,535,36,self_collision,1000029
31,34,358.67999999999637,537,37,self_collision,1000030
32,5,-341.85000000020653,40000,8,step_limit,1000031
33,35,371.87999999999687,508,38,self_collision,1000032
34,25,263.42000000000047,354,28,self_collision,1000033
35,5,-343.2500000002089,40000,8,step_limit,1000034
36,35,376.69999999999635,586,38,self_collision,1000035
37,34,361.33999999999696,521,37,self_collision,1000036
38,20,209.68000000000052,293,23,self_collision,1000037
39,11,-279.190000000073,40000,14,step_limit,1000038
40,1,-389.2900000003035,40000,4,step_limit,1000039
41,36,384.93999999999755,523,39,self_collision,1000040
42,43,466.1999999999912,744,46,self_collision,1000041
43,33,354.1299999999981,501,36,self_collision,1000042
44,12,119.66000000000028,157,15,wall_collision,1000043
45,11,-280.8900000000762,40000,14,step_limit,1000044
46,19,193.0000000000003,240,22,self_collision,1000045
47,34,363.34999999999764,510,37,self_collision,1000046
48,13,129.7100000000003,153,16,self_collision,1000047
49,13,134.57000000000045,207,16,wall_collision,1000048
50,4,-353.7600000002316,40000,7,step_limit,1000049
51,20,209.85000000000056,286,23,self_collision,1000050
52,26,275.3199999999999,435,29,self_collision,1000051
53,19,198.1100000000005,279,22,self_collision,1000052
54,40,418.9999999999962,531,43,self_collision,1000053
55,18,190.1700000000006,292,21,self_collision,1000054
56,11,-274.1900000000619,40000,14,step_limit,1000055
57,6,-336.7400000001954,40000,9,step_limit,1000056
58,38,402.1699999999956,592,41,self_collision,1000057
59,11,112.07000000000033,175,14,self_collision,1000058
60,33,349.54999999999654,509,36,self_collision,1000059
61,24,251.84000000000054,341,27,self_collision,1000060
62,26,272.23000000000036,334,29,self_collision,1000061
63,22,231.78000000000037,385,25,self_collision,1000062
64,30,321.07999999999777,483,33,self_collision,1000063
65,32,345.1799999999964,555,35,wall_collision,1000064
66,26,279.83999999999986,423,29,self_collision,1000065
67,23,236.33000000000035,281,26,self_collision,1000066
68,24,246.86999999999966,318,27,self_collision,1000067
69,34,362.8499999999975,520,37,self_collision,1000068
70,36,380.8799999999958,569,39,self_collision,1000069
71,13,-256.77000000003426,40000,16,step_limit,1000070
72,27,290.12999999999903,445,30,self_collision,1000071
73,32,345.1199999999976,521,35,self_collision,1000072
74,12,121.5300000000004,170,15,self_collision,1000073
75,20,209.8100000000005,300,23,self_collision,1000074
76,25,260.34000000000015,312,28,self_collision,1000075
77,43,460.2999999999921,654,46,self_collision,1000076
78,30,315.21999999999866,439,33,self_collision,1000077
79,38,399.3899999999964,470,41,self_collision,1000078
80,13,-253.17000000003313,40000,16,step_limit,1000079
81,44,469.1999999999942,625,47,self_collision,1000080
82,38,409.55999999999483,703,41,self_collision,1000081
83,33,345.4699999999978,397,36,self_collision,1000082
84,11,-275.5900000000647,40000,14,step_limit,1000083
85,27,285.6700000000001,391,30,self_collision,1000084
86,33,349.71999999999736,482,36,self_collision,1000085
87,14,144.30000000000038,225,17,self_collision,1000086
88,39,420.34999999999525,595,42,self_collision,1000087
89,24,248.35000000000008,300,27,self_collision,1000088
90,23,243.25000000000065,349,26,self_collision,1000089
91,11,109.07000000000039,195,14,wall_collision,1000090
92,36,384.21999999999673,555,39,self_collision,1000091
93,13,134.6800000000005,206,16,self_collision,1000092
94,30,322.65999999999724,525,33,self_collision,1000093
95,18,186.07000000000042,242,21,self_collision,1000094
96,5,-343.05000000020874,40000,8,step_limit,1000095
97,35,373.319999999997,504,38,self_collision,1000096
98,30,325.14999999999736,546,33,self_collision,1000097
99,43,456.31999999999334,632,46,self_collision,1000098
100,24,254.5800000000005,367,27,self_collision,1000099
