episode,score,reward,steps,snake_length,termination_reason,seed
1,24,248.96000000000026,319,27,self_collision,1000000
2,48,522.9899999999922,820,51,self_collision,1000001
3,10,97.73000000000026,148,13,self_collision,1000002
4,29,309.26999999999794,443,32,self_collision,1000003
5,15,155.9300000000005,253,18,self_collision,1000004
6,39,418.0199999999941,678,42,self_collision,1000005
7,23,243.37000000000063,337,26,self_collision,1000006
8,40,424.50999999999436,640,43,self_collision,1000007
9,37,391.9699999999965,611,40,self_collision,1000008
10,16,163.54000000000042,203,19,self_collision,1000009
11,8,74.70000000000013,79,11,self_collision,1000010
12,17,178.48000000000047,290,20,self_collision,1000011
13,28,298.19999999999914,429,31,self_collision,1000012
14,43,454.5299999999948,561,46,self_collision,1000013
15,16,168.59000000000057,268,19,self_collision,1000014
16,36,375.459999999997,431,39,self_collision,1000015
17,26,272.73999999999984,343,29,self_collision,1000016
18,13,135.33000000000052,251,16,self_collision,1000017
19,14,140.05000000000035,200,17,self_collision,1000018
20,25,265.74000000000024,392,28,self_collision,1000019
21,18,187.24000000000052,255,21,self_collision,1000020
22,45,478.02999999999344,683,48,self_collision,1000021
23,40,422.859999999994,595,43,self_collision,1000022
24,28,295.8699999999987,452,31,self_collision,1000023
25,23,239.11000000000033,343,26,self_collision,1000024
26,31,324.9199999999979,430,34,self_collision,1000025
27,43,458.76999999999225,687,46,self_collision,1000026
28,7,69.39000000000026,139,10,self_collision,1000027
29,30,316.4599999999979,475,33,self_collision,1000028
30,28,297.2199999999994,407,31,self_collision,1000029
31,24,249.29000000000013,326,27,self_collision,1000030
32,41,438.98999999999205,703,44,self_collision,1000031
33,33,352.26999999999754,477,36,self_collision,1000032
34,22,229.98000000000062,305,25,self_collision,1000033
35,28,295.8999999999999,419,31,self_collision,1000034
36,19,198.55000000000052,295,22,self_collision,1000035
37,16,166.5100000000005,236,19,self_collision,1000036
38,34,359.04999999999785,480,37,self_collision,1000037
39,58,622.3699999999951,1292,61,self_collision,1000038
40,18,187.65000000000046,264,21,self_collision,1000039
41,33,354.0599999999964,568,36,self_collision,1000040
42,38,402.08999999999503,610,41,self_collision,1000041
43,7,70.19000000000028,139,10,self_collision,1000042
44,30,315.3899999999978,452,33,self_collision,1000043
45,37,391.22999999999735,485,40,self_collision,1000044
46,37,386.22999999999655,465,40,self_collision,1000045
47,17,173.96000000000046,242,20,self_collision,1000046
48,37,388.329999999996,525,40,self_collision,1000047
49,29,310.0899999999983,511,32,self_collision,1000048
50,13,135.70000000000047,224,16,self_collision,1000049
51,33,347.98999999999796,455,36,self_collision,1000050
52,41,436.00999999999596,661,44,self_collision,1000051
53,40,428.51999999999305,729,43,self_collision,1000052
54,46,484.60999999999046,766,49,self_collision,1000053
55,18,191.41000000000062,308,21,self_collision,1000054
56,37,391.44999999999743,483,40,self_collision,1000055
57,43,452.8299999999933,631,46,self_collision,1000056
58,31,330.9799999999975,554,34,self_collision,1000057
59,11,113.15000000000039,187,14,self_collision,1000058
60,39,416.6599999999949,594,42,self_collision,1000059
61,16,162.81000000000037,206,19,self_collision,1000060
62,27,284.23999999999984,384,30,self_collision,1000061
63,30,318.00999999999783,480,33,self_collision,1000062
64,37,397.6699999999959,621,40,self_collision,1000063
65,22,231.75000000000057,338,25,self_collision,1000064
66,24,256.7700000000002,418,27,self_collision,1000065
67,38,399.77999999999497,531,41,self_collision,1000066
68,36,373.8799999999922,669,39,self_collision,1000067
69,30,317.5499999999995,416,33,self_collision,1000068
70,37,394.6099999999968,567,40,self_collision,1000069
71,32,339.38999999999766,464,35,self_collision,1000070
72,38,406.11999999999443,677,41,self_collision,1000071
73,16,166.16000000000048,231,19,self_collision,1000072
74,25,265.3000000000002,396,28,self_collision,1000073
75,34,365.4199999999971,553,37,self_collision,1000074
76,21,217.40000000000052,262,24,self_collision,1000075
77,29,303.2599999999986,424,32,self_collision,1000076
78,20,208.0400000000006,317,23,self_collision,1000077
79,29,301.44999999999663,475,32,self_collision,1000078
80,35,370.7699999999975,479,38,self_collision,1000079
81,28,293.57999999999925,421,31,self_collision,1000080
82,59,634.9799999999958,1022,62,self_collision,1000081
83,44,465.64999999999344,610,47,self_collision,1000082
84,27,287.1800000000001,390,30,self_collision,1000083
85,41,435.0299999999951,619,44,self_collision,1000084
86,34,364.3199999999976,503,37,self_collision,1000085
87,53,572.859999999995,958,56,self_collision,1000086
88,20,210.5000000000005,311,23,self_collision,1000087
89,34,353.60999999999854,394,37,self_collision,1000088
90,33,351.2599999999951,588,36,self_collision,1000089
91,21,222.18000000000063,324,24,self_collision,1000090
92,23,240.34000000000054,310,26,self_collision,1000091
93,28,296.0499999999984,474,31,self_collision,1000092
94,26,279.2599999999994,441,29,self_collision,1000093
95,24,254.31000000000057,364,27,self_collision,1000094
96,25,267.71000000000015,405,28,self_collision,1000095
97,50,532.0599999999936,705,53,self_collision,1000096
98,38,409.709999999995,638,41,self_collision,1000097
99,45,479.959999999992,760,48,self_collision,1000098
100,24,253.85000000000042,370,27,self_collision,1000099
