episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-6.1,0,3,31,0.995,,0,wall_collision
2,-6.640000000000001,0,3,65,0.990025,,0,wall_collision
3,-7.23,0,3,74,0.985074875,,0,wall_collision
4,-6.2299999999999995,0,3,74,0.9801495006250001,,0,wall_collision
5,-6.33,0,3,24,0.9752487531218751,,0,wall_collision
6,-7.280000000000001,0,3,149,0.9703725093562657,,0,wall_collision
7,-6.15,0,3,46,0.9655206468094844,,0,wall_collision
8,-7.21,0,3,152,0.960693043575437,,0,wall_collision
9,5.73,1,4,19,0.9558895783575597,,0,wall_collision
10,-6.26,0,3,27,0.9511101304657719,,0,wall_collision
11,-6.750000000000001,0,3,226,0.946354579813443,,0,wall_collision
12,-6.720000000000001,0,3,33,0.9416228069143757,,0,wall_collision
13,-6.08,0,3,29,0.9369146928798039,,0,wall_collision
14,-5.31,0,3,42,0.9322301194154049,,0,wall_collision
15,-6.820000000000002,0,3,83,0.9275689688183278,0.0722675231739413,75,wall_collision
16,4.2200000000000255,1,4,160,0.9229311239742362,0.03071687443589326,160,wall_collision
17,-4.66,0,3,27,0.918316468354365,0.012963515847567815,27,wall_collision
18,16.650000000000002,2,5,68,0.9137248860125932,0.021929694847666027,68,wall_collision
19,-6.970000000000001,0,3,88,0.9091562615825302,0.03396536141107473,88,wall_collision
20,-7.3100000000000005,0,3,122,0.9046104802746175,0.017030915831307284,122,wall_collision
21,-6.13,0,3,24,0.9000874278732445,0.048218175224368075,24,wall_collision
22,-5.46,0,3,67,0.8955869907338783,0.027425661628350004,67,wall_collision
23,-5.84,0,3,85,0.8911090557802088,0.016381256811505675,85,wall_collision
24,-4.839999999999999,0,3,85,0.8866535105013078,0.026141682844472065,85,wall_collision
25,4.680000000000005,1,4,34,0.8822202429488013,0.019494364981844283,34,wall_collision
26,-6.74,0,3,55,0.8778091417340573,0.020329366556755057,55,wall_collision
27,-5.27,0,3,78,0.8734200960253871,0.06070447003059179,78,wall_collision
28,-7.369999999999999,0,3,108,0.8690529955452602,0.038862734597555744,108,wall_collision
29,-4.84,0,3,45,0.8647077305675338,0.04108639472267694,45,wall_collision
30,-4.09,0,3,80,0.8603841919146962,0.049633146310225126,80,wall_collision
31,15.020000000000003,2,5,181,0.8560822709551227,0.04017712378254397,181,self_collision
32,6.05000000000001,1,4,107,0.851801859600347,0.05252212011113885,107,wall_collision
33,16.070000000000007,2,5,86,0.8475428503023453,0.07523529678258266,86,wall_collision
34,3.9700000000000095,1,4,135,0.8433051360508336,0.06455650099691142,135,wall_collision
35,4.020000000000001,1,4,240,0.8390886103705794,0.05265352989833142,240,wall_collision
36,14.70000000000002,2,5,133,0.8348931673187264,0.042566499790120726,133,wall_collision
37,-4.77,0,3,48,0.8307187014821328,0.028056412100947153,48,wall_collision
38,-4.56,0,3,17,0.8265651079747222,0.040174462627071666,17,wall_collision
39,-4.76,0,3,57,0.8224322824348486,0.05924497686914707,57,wall_collision
40,-6.14,0,3,55,0.8183201210226743,0.05920436771755869,55,wall_collision
41,4.700000000000003,1,4,152,0.8142285204175609,0.03525498059159298,152,wall_collision
42,4.860000000000003,1,4,96,0.810157377815473,0.027405938315799478,96,wall_collision
43,-6.21,0,3,152,0.8061065909263957,0.03545852102998699,152,wall_collision
