episode,score,reward,steps,snake_length,termination_reason,seed
1,46,484.57999999999237,719,49,self_collision,1000000
2,43,466.9699999999924,797,46,self_collision,1000001
3,11,107.71000000000022,121,14,self_collision,1000002
4,39,416.52999999999264,707,42,self_collision,1000003
5,38,402.9099999999955,658,41,self_collision,1000004
6,31,332.84999999999803,507,34,self_collision,1000005
7,21,220.9700000000005,315,24,self_collision,1000006
8,19,194.74000000000038,256,22,self_collision,1000007
9,30,316.9099999999992,430,33,wall_collision,1000008
10,38,405.5799999999955,581,41,self_collision,1000009
11,36,375.1299999999958,554,39,self_collision,1000010
12,40,426.69999999999527,711,43,self_collision,1000011
13,26,271.42,335,29,self_collision,1000012
14,40,423.9599999999939,625,43,self_collision,1000013
15,22,232.5400000000006,349,25,self_collision,1000014
16,24,247.14000000000055,401,27,self_collision,1000015
17,22,233.04000000000073,339,25,self_collision,1000016
18,19,201.88000000000062,312,22,self_collision,1000017
19,12,120.72000000000045,201,15,wall_collision,1000018
20,43,466.5499999999914,759,46,self_collision,1000019
21,39,416.71999999999474,608,42,self_collision,1000020
22,31,329.5499999999976,527,34,self_collision,1000021
23,30,320.75999999999726,515,33,self_collision,1000022
24,46,499.62999999999033,824,49,self_collision,1000023
25,18,183.9300000000004,216,21,wall_collision,1000024
26,33,347.9099999999976,463,36,self_collision,1000025
27,30,312.69999999999885,371,33,self_collision,1000026
28,37,403.0099999999951,667,40,self_collision,1000027
29,28,295.6799999999994,431,31,self_collision,1000028
30,21,222.35000000000042,397,24,self_collision,1000029
31,56,597.5999999999954,917,59,self_collision,1000030
32,40,424.7999999999928,741,43,self_collision,1000031
33,32,342.8099999999954,602,35,self_collision,1000032
34,33,349.8799999999976,506,36,wall_collision,1000033
35,34,364.09999999999724,565,37,self_collision,1000034
36,32,339.6499999999987,498,35,self_collision,1000035
37,18,187.1000000000005,259,21,self_collision,1000036
38,20,207.00000000000043,261,23,self_collision,1000037
39,21,219.1600000000006,286,24,self_collision,1000038
40,34,361.4699999999971,578,37,self_collision,1000039
41,26,277.72999999999996,424,29,self_collision,1000040
42,19,196.31000000000049,249,22,self_collision,1000041
43,33,353.2899999999965,565,36,self_collision,1000042
44,23,239.6600000000006,318,26,self_collision,1000043
45,30,318.5599999999984,475,33,self_collision,1000044
46,20,203.0400000000003,217,23,self_collision,1000045
47,31,331.12999999999784,469,34,self_collision,1000046
48,34,359.39999999999696,535,37,self_collision,1000047
49,46,492.6199999999927,735,49,self_collision,1000048
50,42,447.7199999999948,621,45,self_collision,1000049
51,41,438.67999999999284,734,44,self_collision,1000050
52,23,246.0000000000008,384,26,wall_collision,1000051
53,18,187.2600000000006,283,21,self_collision,1000052
54,30,311.7699999999982,494,33,wall_collision,1000053
55,24,254.95000000000016,440,27,wall_collision,1000054
56,28,294.6099999999989,418,31,self_collision,1000055
57,27,281.21999999999923,386,30,self_collision,1000056
58,12,122.27000000000038,176,15,wall_collision,1000057
59,27,290.08999999999986,449,30,self_collision,1000058
60,27,285.6199999999992,386,30,self_collision,1000059
61,17,173.55000000000047,213,20,self_collision,1000060
62,36,382.48999999999563,638,39,self_collision,1000061
63,17,177.11000000000053,247,20,self_collision,1000062
64,54,576.7699999999926,1008,57,self_collision,1000063
65,34,368.68999999999494,636,37,self_collision,1000064
66,25,265.9499999999998,521,28,self_collision,1000065
67,22,225.24000000000018,299,25,self_collision,1000066
68,27,277.5099999999983,467,30,self_collision,1000067
69,23,244.67000000000073,357,26,self_collision,1000068
70,31,326.6299999999971,529,34,self_collision,1000069
71,29,304.999999999998,470,32,self_collision,1000070
72,17,177.2600000000004,282,20,self_collision,1000071
73,32,340.69999999999783,493,35,self_collision,1000072
74,44,476.2999999999935,755,47,self_collision,1000073
75,45,482.53999999999115,802,48,self_collision,1000074
76,29,305.44999999999857,415,32,self_collision,1000075
77,30,314.17999999999773,413,33,self_collision,1000076
78,33,346.07999999999754,466,36,self_collision,1000077
79,43,452.7999999999943,604,46,wall_collision,1000078
80,53,567.6499999999933,1099,56,self_collision,1000079
81,14,143.9900000000005,226,17,self_collision,1000080
82,6,56.250000000000156,92,9,wall_collision,1000081
83,27,281.40999999999946,337,30,self_collision,1000082
84,30,319.91999999999797,539,33,self_collision,1000083
85,25,264.05000000000024,391,28,self_collision,1000084
86,38,404.4799999999945,651,41,self_collision,1000085
87,39,414.5599999999953,734,42,self_collision,1000086
88,42,451.709999999994,672,45,wall_collision,1000087
89,43,451.9899999999939,655,46,self_collision,1000088
90,37,395.92999999999455,635,40,self_collision,1000089
91,38,406.78999999999536,690,41,self_collision,1000090
92,36,379.6899999999959,578,39,self_collision,1000091
93,19,199.44000000000045,316,22,self_collision,1000092
94,29,311.59999999999866,470,32,self_collision,1000093
95,18,186.6000000000004,259,21,self_collision,1000094
96,29,309.739999999998,476,32,self_collision,1000095
97,24,250.72000000000048,313,27,self_collision,1000096
98,51,557.6599999999933,1006,54,wall_collision,1000097
99,36,384.0299999999958,524,39,self_collision,1000098
100,19,199.5200000000004,328,22,self_collision,1000099
